vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,274.92,23.118621678321677
motorcycle,7800,0.3,282.6730769230769,30.47206153846154
taxi,2080,0.08,273.6485576923077,24.78396153846154
pickup,1040,0.04,271.3317307692308,22.223192307692308
truck_light,520,0.02,273.3423076923077,23.401096153846154
bus,260,0.01,269.4807692307692,24.169153846153847
