vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,273.48426573426576,21.31183076923077
motorcycle,7800,0.3,281.1666666666667,28.607892307692307
taxi,2080,0.08,272.02884615384613,22.82705769230769
pickup,1040,0.04,270.8375,21.42126923076923
truck_light,520,0.02,273.4730769230769,23.11065384615385
bus,260,0.01,269.7423076923077,24.138692307692306
