vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,293.0427272727273,20.149667132867133
motorcycle,7800,0.3,300.5260256410256,26.82780641025641
taxi,2080,0.08,289.73509615384614,21.273610576923076
pickup,1040,0.04,289.8480769230769,19.73925
truck_light,520,0.02,290.3826923076923,20.718999999999998
bus,260,0.01,293.8269230769231,22.3155
