vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,277.7827272727273,24.857202097902096
motorcycle,7800,0.3,283.50410256410254,30.64235641025641
taxi,2080,0.08,277.2230769230769,26.75713942307692
pickup,1040,0.04,278.93557692307695,25.823625
truck_light,520,0.02,276.7230769230769,26.673596153846155
bus,260,0.01,285.5692307692308,29.732846153846154
