scenario,lambda,metric,mean,ci95_lo,ci95_hi,n_seeds
diag_s0,0.6,mean_timeloss_s,14.497800000000002,13.562557752554747,15.433042247445256,10
diag_s0,0.6,mean_waiting_s,0.6596794871794872,-0.21028808016839406,1.5296470545273686,10
diag_s0,0.6,n_collisions,0.0,0.0,0.0,10
diag_s0,0.8,mean_timeloss_s,16.97937067307692,14.246842105389703,19.71189924076414,10
diag_s0,0.8,mean_waiting_s,2.0264423076923075,-0.3334756490947641,4.386360264479379,10
diag_s0,0.8,n_collisions,0.0,0.0,0.0,10
diag_s0,1.0,mean_timeloss_s,17.560859999999998,16.46255083312894,18.659169166871056,10
diag_s0,1.0,mean_waiting_s,1.3630384615384614,0.4865299395382022,2.2395469835387205,10
diag_s0,1.0,n_collisions,0.0,0.0,0.0,10
diag_s0,1.2,mean_timeloss_s,20.342721794871796,17.950829288947908,22.734614300795684,10
diag_s0,1.2,mean_waiting_s,2.554102564102564,0.6094122909280333,4.498792837277095,10
diag_s0,1.2,n_collisions,0.2,-0.10162095503976065,0.5016209550397607,10
diag_s0,1.4,mean_timeloss_s,25.68392912087912,20.362642549229175,31.005215692529067,10
diag_s0,1.4,mean_waiting_s,5.7325,1.409245625371459,10.055754374628542,10
diag_s0,1.4,n_collisions,0.2,-0.10162095503976065,0.5016209550397607,10
