vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,294.10006993006994,20.653227272727275
motorcycle,7800,0.3,301.59128205128206,27.343252564102563
taxi,2080,0.08,290.75865384615383,21.788783653846153
pickup,1040,0.04,291.44615384615383,20.656009615384615
truck_light,520,0.02,292.4865384615385,22.388807692307694
bus,260,0.01,296.4076923076923,24.28703846153846
