vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,278.5536363636364,27.17523006993007
motorcycle,7800,0.3,284.91423076923076,33.38532179487179
taxi,2080,0.08,280.02884615384613,29.74708173076923
pickup,1040,0.04,275.97115384615387,27.488125
truck_light,520,0.02,275.3346153846154,28.083365384615384
bus,260,0.01,280.11538461538464,28.49626923076923
