scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,n_collisions
diag_s0,0.6,1,1560,267.47628205128206,15.001743589743588,0.8564102564102564,0
diag_s0,0.6,2,1560,266.0621794871795,13.911955128205129,0.023717948717948717,0
diag_s0,0.6,3,1560,264.47628205128206,13.621025641025641,0.017948717948717947,0
diag_s0,0.6,4,1560,268.09615384615387,14.0133141025641,0.03205128205128205,0
diag_s0,0.6,5,1560,265.0205128205128,13.69032692307692,0.026923076923076925,0
diag_s0,0.6,6,1560,263.425,13.905019230769229,0.021153846153846155,0
diag_s0,0.6,7,1560,264.7621794871795,13.656980769230769,0.01730769230769231,0
diag_s0,0.6,8,1560,264.874358974359,13.756499999999999,0.020512820512820513,0
diag_s0,0.6,9,1560,266.53910256410256,15.780532051282051,1.9679487179487178,0
diag_s0,0.6,10,1560,266.95512820512823,17.640602564102565,3.612820512820513,0
diag_s0,0.8,1,2080,264.72067307692305,14.66601923076923,0.025,0
diag_s0,0.8,2,2080,273.39326923076925,20.075182692307692,4.720192307692308,0
diag_s0,0.8,3,2080,276.4375,26.669692307692312,10.380288461538461,0
diag_s0,0.8,4,2080,265.36105769230767,14.749096153846155,0.020673076923076922,0
diag_s0,0.8,5,2080,265.5221153846154,14.512533653846154,0.02548076923076923,0
diag_s0,0.8,6,2080,265.84423076923076,14.899259615384617,0.023557692307692307,0
diag_s0,0.8,7,2080,268.2889423076923,16.75979326923077,1.9528846153846153,0
diag_s0,0.8,8,2080,264.5692307692308,14.621086538461538,0.023076923076923078,0
diag_s0,0.8,9,2080,266.34134615384613,15.764759615384614,1.1105769230769231,0
diag_s0,0.8,10,2080,269.4990384615385,17.076283653846154,1.9826923076923078,0
diag_s0,1.0,1,2600,269.58653846153845,19.137507692307693,2.263076923076923,0
diag_s0,1.0,2,2600,268.67346153846154,15.77323846153846,0.029615384615384616,0
diag_s0,1.0,3,2600,266.7130769230769,15.925434615384612,0.025,0
diag_s0,1.0,4,2600,266.80692307692306,15.775315384615384,0.027692307692307693,0
diag_s0,1.0,5,2600,269.4419230769231,18.025653846153844,1.8884615384615384,0
diag_s0,1.0,6,2600,266.5734615384615,16.217299999999998,0.03923076923076923,0
diag_s0,1.0,7,2600,268.9442307692308,18.53667307692308,2.4584615384615383,0
diag_s0,1.0,8,2600,271.25,19.639242307692307,2.984230769230769,0
diag_s0,1.0,9,2600,270.0246153846154,19.100649999999998,2.5846153846153848,0
diag_s0,1.0,10,2600,269.0142307692308,17.477584615384615,1.33,0
diag_s0,1.2,1,3120,270.9798076923077,19.28533653846154,1.5426282051282052,0
diag_s0,1.2,2,3120,270.12371794871797,18.837410256410255,1.4474358974358974,1
diag_s0,1.2,3,3120,270.14935897435896,19.083932692307695,1.8253205128205128,0
diag_s0,1.2,4,3120,278.87179487179486,28.613733974358972,9.165384615384616,1
diag_s0,1.2,5,3120,271.3740384615385,20.446471153846154,2.5378205128205127,0
diag_s0,1.2,6,3120,273.81121794871797,23.216689102564104,5.0903846153846155,0
diag_s0,1.2,7,3120,272.49679487179486,20.020333333333333,2.2637820512820515,0
diag_s0,1.2,8,3120,269.5134615384615,17.54440064102564,0.03878205128205128,0
diag_s0,1.2,9,3120,269.6253205128205,19.12826923076923,1.566025641025641,0
diag_s0,1.2,10,3120,269.1304487179487,17.250641025641027,0.06346153846153846,0
diag_s0,1.4,1,3640,283.1535714285714,32.09257967032967,9.929945054945055,0
diag_s0,1.4,2,3640,271.35274725274724,18.578489010989014,0.0456043956043956,0
diag_s0,1.4,3,3640,273.11538461538464,22.613626373626374,3.2967032967032965,0
diag_s0,1.4,4,3640,269.3961538461538,18.770728021978027,0.05824175824175824,0
diag_s0,1.4,5,3640,281.4368131868132,30.186953296703294,9.262087912087912,1
diag_s0,1.4,6,3640,289.7123626373626,39.187065934065934,16.940934065934066,0
diag_s0,1.4,7,3640,273.2063186813187,21.955637362637365,2.7442307692307693,0
diag_s0,1.4,8,3640,283.1802197802198,33.60726373626374,12.751923076923077,1
diag_s0,1.4,9,3640,271.8873626373626,21.258923076923075,2.218681318681319,0
diag_s0,1.4,10,3640,271.1763736263736,18.588024725274725,0.07664835164835165,0
