trial,mean_timeloss_s,mean_collisions,tau_multiplier,minGap_multiplier,sigma_multiplier,impatience_multiplier,jmIgnoreFoeProb_multiplier,lcAssertive_multiplier
0,100.67015740283787,3460.0,0.9247240713084175,1.2704285838459497,1.139196365086843,1.059195090518222,0.7936111842654618,0.7935967122017216
1,130.77420919700532,6345.25,0.7348501673009197,1.2197056874649612,1.0606690070459253,1.1248435466776274,0.7123506965774814,1.2819459112971967
2,30.271589972527472,124.25,1.199465584480253,0.8274034664069656,0.8090949803242603,0.8100427059120603,0.8825453457757226,1.0148538589793428
3,109.49294755259953,3685.75,0.9591670111852695,0.8747374841188251,1.0671117368334277,0.7836963163912251,0.8752867891211309,0.919817105976215
4,93.32446008943566,2727.75,0.9736419905302216,1.1711055768358083,0.8198042692950158,1.008540663048167,1.0554487413172255,0.7278702476319986
5,36.04070054945055,491.25,1.064526911140863,0.8023144742123749,0.7390309557911676,1.269331322352,1.2793792198447358,1.1850384088698767
6,97.48677549473457,4315.5,0.8827682615040224,0.7586032684038303,1.1105398159072941,0.9640914962437608,0.7732229409068673,0.9971061460667621
7,144.09777987740932,7028.0,0.720633112669131,1.2455922412472693,0.8552679889600101,1.0975133706123892,0.8870266456536465,1.0120408127066864
9,62.792335043182064,871.75,1.0587399872866512,1.2531245410138703,0.7530955012311517,0.8175897174514871,0.7271363733463228,0.8951981984579586
10,112.17512792562599,4400.0,0.9332063738136892,0.8628094190643375,1.1972425054911575,0.9140519960161535,0.8685607058124285,1.025617649894949
11,111.61973368436395,5141.5,0.7845545349848575,1.1813181884524238,0.7447303862078625,1.2921321619603106,1.1633468615779945,0.8192294089205034
12,122.07203885944104,5594.0,0.7033132702741614,1.1892768570729007,1.1241144063085704,1.1374043008245924,1.1627622080115674,0.7444267910404542
13,96.20130995872414,3698.25,0.9150794371265636,0.7695214357150778,1.217862055525356,1.0739788760965348,0.8985388149115895,0.7381350101716141
14,78.59661578859306,2471.0,0.8865893930293973,0.8951099932160482,1.1377637070028386,1.0825344828131278,1.232327645545796,0.9833289550971696
15,137.0235050276139,6692.25,0.771756547562981,1.127946872333797,1.1564710291701386,1.0367663185416978,1.1625803079727366,0.9962773578186345
16,70.52829117337362,1537.25,1.0136396976291964,0.9565246110151298,0.7152514760464571,0.7647348561959826,0.7188575114120405,1.0818462467582681
17,140.82040997326393,7905.5,0.888613588645796,1.0051424146988217,1.2445398843556559,0.8495753374893249,0.9462297538213779,1.1533306831258292
18,107.94696548163944,4622.25,0.8372788992949735,0.7461879458972758,0.8738508717482608,0.7967327723524026,1.257818591405544,1.18487222773865
19,74.24447802197803,1061.0,1.080042253906254,1.2228763541126306,1.1822032461394687,0.8119420353316215,1.2355353990939868,1.0236053451493905
20,37.49552060439561,180.5,1.1844640930984376,1.237654779954096,0.8908020849831183,0.766031154716606,0.8367610975251649,0.9562646731757538
21,120.88742173149956,4612.25,0.8865893930293973,1.190808859553496,1.0671117368334277,1.216438349953806,0.8752867891211309,0.919817105976215
22,144.26145308937782,7348.25,0.7033132702741614,0.7041712783187144,1.1972425054911575,1.1374043008245924,1.1627622080115674,1.025617649894949
23,109.9077688135126,4544.5,0.8827682615040224,1.0064483815465395,0.8908020849831183,0.9640914962437608,0.7732229409068673,0.9562646731757538
24,49.22050043111163,1519.25,0.8865893930293973,0.8951099932160482,0.9504466018892674,1.0825344828131278,1.232327645545796,0.9833289550971696
25,82.95556778353775,3156.0,0.8332646862824381,0.7695214357150778,1.217862055525356,0.8175897174514871,0.7271363733463228,0.8951981984579586
26,46.684711538461535,574.5,1.0587399872866512,1.2531245410138703,0.7719192204002097,0.8100427059120603,0.7271363733463228,0.9025691028421767
27,64.4697105579553,2231.5,0.8827682615040224,0.7586032684038303,1.1105398159072941,1.2657458223475115,0.7732229409068673,0.7278702476319986
28,137.6845917340529,5085.5,0.9247240713084175,1.2704285838459497,1.1105398159072941,0.9640914962437608,0.7732229409068673,0.8939217592124531
29,100.27477481108478,4289.75,0.888613588645796,1.0112743730460196,0.8908020849831183,0.766031154716606,0.8367610975251649,1.1533306831258292
30,51.78852678571429,598.25,1.064526911140863,0.8023144742123749,1.0671117368334277,1.269331322352,1.2793792198447358,1.1218113753371068
31,30.385525412087908,121.25,1.199465584480253,1.2228763541126306,0.8090949803242603,0.8119420353316215,1.2355353990939868,1.0148538589793428
32,40.03531662087912,174.0,1.1844640930984376,1.2197056874649612,0.8908020849831183,1.1248435466776274,0.7123506965774814,1.2819459112971967
33,102.23752055917416,4388.25,0.9181777614275763,1.2830692496325764,1.0671117368334277,0.7836963163912251,0.8752867891211309,1.2774683769652668
34,131.7803135376203,6510.25,0.8372788992949735,0.7461879458972758,0.8738508717482608,0.8100427059120603,1.257818591405544,1.18487222773865
35,30.259842032967033,277.25,1.064526911140863,0.8510693774952185,0.8908020849831183,0.766031154716606,0.8367610975251649,0.9562646731757538
36,86.91496292634396,3206.0,0.8865893930293973,0.8951099932160482,1.1377637070028386,1.0825344828131278,1.232327645545796,0.9983491035354313
37,84.71567220456672,3087.5,0.9247240713084175,1.2704285838459497,1.139196365086843,0.8805269858900617,0.7936111842654618,0.7935967122017216
38,61.47105975274726,863.75,1.080042253906254,1.2228763541126306,1.1822032461394687,0.8119420353316215,1.2355353990939868,1.0148538589793428
39,109.06690341653103,4745.25,0.9150794371265636,0.7695214357150778,0.8709042966264806,1.0739788760965348,0.8985388149115895,0.7381350101716141
