scenario,lambda,metric,mean,ci95_lo,ci95_hi,n_seeds
s2_d350,0.6,mean_duration_s,292.18230769230763,291.42767575979013,292.93693962482513,10
s2_d350,0.6,mean_timeloss_s,19.33374487179487,19.1433914289619,19.524098314627842,10
s2_d350,0.6,mean_waiting_s,0.04019230769230769,0.034097091141311646,0.04628752424330373,10
s2_d350,0.6,p95_timeloss_s,34.667649999999995,34.010934956085734,35.324365043914256,10
s2_d350,0.6,n_collisions,1.3,0.2309462331008978,2.3690537668991025,10
s2_d350,0.6,max_queue_length_m,21.645,19.306123848899148,23.98387615110085,10
s2_d350,0.8,mean_duration_s,294.1155769230769,293.2121716332701,295.0189822128837,10
s2_d350,0.8,mean_timeloss_s,20.95735048076923,20.70451449319359,21.21018646834487,10
s2_d350,0.8,mean_waiting_s,0.06211538461538461,0.050992535276047204,0.07323823395472201,10
s2_d350,0.8,p95_timeloss_s,38.2213,37.44883706717706,38.99376293282294,10
s2_d350,0.8,n_collisions,3.3,2.1293959004774914,4.470604099522508,10
s2_d350,0.8,max_queue_length_m,35.64,17.936873921184446,53.34312607881556,10
s2_d350,1.0,mean_duration_s,295.9647692307692,295.36782670757333,296.5617117539651,10
s2_d350,1.0,mean_timeloss_s,22.822240384615387,22.553820134679064,23.09066063455171,10
s2_d350,1.0,mean_waiting_s,0.09115384615384615,0.07802454719798657,0.10428314510970574,10
s2_d350,1.0,p95_timeloss_s,42.16914999999999,41.352323468118215,42.98597653188176,10
s2_d350,1.0,n_collisions,8.0,5.894046290796972,10.105953709203028,10
s2_d350,1.0,max_queue_length_m,30.993000000000002,23.027291044593078,38.95870895540693,10
s2_d350,1.2,mean_duration_s,298.6357371794872,297.09856678443674,300.17290757453765,10
s2_d350,1.2,mean_timeloss_s,25.362824679487183,24.061095155585512,26.664554203388853,10
s2_d350,1.2,mean_waiting_s,0.4993910256410256,-0.3063149093342627,1.3050969606163139,10
s2_d350,1.2,p95_timeloss_s,48.81059999999997,44.84896842512951,52.77223157487043,10
s2_d350,1.2,n_collisions,31.8,5.869367399991027,57.730632600008974,10
s2_d350,1.2,max_queue_length_m,44.879000000000005,21.572059791208375,68.18594020879164,10
s2_d350,1.4,mean_duration_s,301.2185164835165,299.4110223296598,303.02601063737325,10
s2_d350,1.4,mean_timeloss_s,27.928189010989012,26.203024657380073,29.65335336459795,10
s2_d350,1.4,mean_waiting_s,0.6511813186813187,-0.35004876224450543,1.6524113996071428,10
s2_d350,1.4,p95_timeloss_s,56.20239999999997,48.14437462399685,64.26042537600308,10
s2_d350,1.4,n_collisions,57.0,7.873038453706471,106.12696154629353,10
s2_d350,1.4,max_queue_length_m,51.983000000000004,30.715464704368568,73.25053529563144,10
