approach,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,mean_route_length_m
east,8000,377.849875,26.0124125,1.041125,7566.45301125
north,5000,244.0306,41.779720000000005,11.7312,4490.026298
south,5000,250.6042,43.656128,9.6922,3504.81238
west,8000,226.0505,12.5304,0.0,4844.815
کل (all),26000,280.9375769230769,28.28929769230769,4.440230769230769,5356.320672307692
