approach,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,mean_route_length_m
east,8000,384.25975,24.614729999999998,0.01925,7870.686208749999
north,5000,271.35,22.300294,0.1828,5506.11917
south,5000,293.5426,31.602612,0.0136,5084.765
west,8000,224.567875,15.868235,0.15425,4694.408956249999
کل (all),26000,295.9647692307692,22.822240384615384,0.09115384615384615,5902.891621923078
