scenario,lambda,metric,mean,ci95_lo,ci95_hi,n_seeds
s3_full,0.6,mean_duration_s,273.0644871794872,271.57478685567105,274.5541875033033,10
s3_full,0.6,mean_timeloss_s,20.83112884615385,19.730015578447336,21.93224211386036,10
s3_full,0.6,mean_waiting_s,0.6865384615384615,-0.31275478062704576,1.6858317037039687,10
s3_full,0.6,p95_timeloss_s,40.00235,38.741941452502964,41.262758547497036,10
s3_full,0.6,n_collisions,6.7,-1.3514294581701014,14.7514294581701,10
s3_full,0.6,max_queue_length_m,34.923,15.628198515373409,54.21780148462659,10
s3_full,0.8,mean_duration_s,275.90024038461536,273.83476106993857,277.96571969929215,10
s3_full,0.8,mean_timeloss_s,23.439763461538462,21.909958104117965,24.969568818958958,10
s3_full,0.8,mean_waiting_s,2.179615384615385,0.7638553381213451,3.595375431109425,10
s3_full,0.8,p95_timeloss_s,43.873749999999994,42.388131214332375,45.35936878566761,10
s3_full,0.8,n_collisions,28.4,12.279495656686123,44.520504343313874,10
s3_full,0.8,max_queue_length_m,50.62,31.46470878210289,69.7752912178971,10
s3_full,1.0,mean_duration_s,276.3855384615385,275.4170040505918,277.3540728724852,10
s3_full,1.0,mean_timeloss_s,23.870595384615385,23.036181680746914,24.705009088483855,10
s3_full,1.0,mean_waiting_s,1.4247692307692308,0.6589161229756513,2.19062233856281,10
s3_full,1.0,p95_timeloss_s,46.40434999999999,44.67537031628987,48.1333296837101,10
s3_full,1.0,n_collisions,31.1,16.92281241935312,45.27718758064688,10
s3_full,1.0,max_queue_length_m,80.574,63.12311750946609,98.02488249053391,10
s3_full,1.2,mean_duration_s,280.223108974359,278.3077715942635,282.13844635445446,10
s3_full,1.2,mean_timeloss_s,28.05026826923077,26.295640505690105,29.804896032771435,10
s3_full,1.2,mean_waiting_s,4.041410256410257,2.61154244285417,5.4712780699663455,10
s3_full,1.2,p95_timeloss_s,55.12014999999995,50.731164833164684,59.50913516683522,10
s3_full,1.2,n_collisions,93.6,61.870249661483456,125.32975033851653,10
s3_full,1.2,max_queue_length_m,72.463,34.411328091818774,110.51467190818121,10
s3_full,1.4,mean_duration_s,282.23434065934066,280.6528282383627,283.8158530803186,10
s3_full,1.4,mean_timeloss_s,29.56525027472527,27.835592456066472,31.294908093384066,10
s3_full,1.4,mean_waiting_s,3.9740384615384614,2.5049109884034366,5.443165934673486,10
s3_full,1.4,p95_timeloss_s,61.27849999999995,53.7216975241255,68.8353024758744,10
s3_full,1.4,n_collisions,140.7,99.55187869888732,181.84812130111266,10
s3_full,1.4,max_queue_length_m,97.966,71.17403262437331,124.75796737562668,10
