vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,270.21216783216784,18.833594405594408
motorcycle,7800,0.3,277.06461538461537,25.54260769230769
taxi,2080,0.08,271.2129807692308,20.922278846153844
pickup,1040,0.04,267.37788461538463,18.916711538461538
truck_light,520,0.02,267.3423076923077,20.106865384615386
bus,260,0.01,271.19615384615383,19.590230769230768
