scenario,lambda,metric,mean,ci95_lo,ci95_hi,n_seeds
s1_actuated,0.6,mean_duration_s,278.46294871794873,277.26371939938264,279.66217803651483,10
s1_actuated,0.6,mean_timeloss_s,27.18870576923077,26.050171405069158,28.32724013339238,10
s1_actuated,0.6,mean_waiting_s,6.635641025641026,5.46665761586973,7.804624435412322,10
s1_actuated,0.6,p95_timeloss_s,62.66479999999999,61.2067594676768,64.1228405323232,10
s1_actuated,0.6,n_collisions,120.3,107.16541169528443,133.43458830471556,10
s1_actuated,0.6,max_queue_length_m,29.526999999999994,26.808884207350385,32.24511579264961,10
s1_actuated,0.8,mean_duration_s,279.6488942307692,278.6371761805532,280.6606122809852,10
s1_actuated,0.8,mean_timeloss_s,28.62806153846153,27.505813142864497,29.750309934058563,10
s1_actuated,0.8,mean_waiting_s,6.809134615384615,5.774532878704943,7.843736352064286,10
s1_actuated,0.8,p95_timeloss_s,68.0737,65.81423702943147,70.33316297056854,10
s1_actuated,0.8,n_collisions,211.3,195.90532289061312,226.6946771093869,10
s1_actuated,0.8,max_queue_length_m,36.865,30.793274608183552,42.93672539181645,10
s1_actuated,1.0,mean_duration_s,284.16069230769233,282.0983435792293,286.22304103615534,10
s1_actuated,1.0,mean_timeloss_s,33.01960961538462,30.705928043801592,35.33329118696764,10
s1_actuated,1.0,mean_waiting_s,9.47246153846154,7.472364814426096,11.472558262496982,10
s1_actuated,1.0,p95_timeloss_s,77.53164999999994,72.46269617215616,82.60060382784373,10
s1_actuated,1.0,n_collisions,374.2,336.4374057520313,411.9625942479687,10
s1_actuated,1.0,max_queue_length_m,75.842,36.47631615994279,115.2076838400572,10
s1_actuated,1.2,mean_duration_s,292.0027243589744,285.38363789992945,298.6218108180193,10
s1_actuated,1.2,mean_timeloss_s,40.74133814102564,34.080695994360994,47.40198028769029,10
s1_actuated,1.2,mean_waiting_s,15.058974358974359,9.195263602072089,20.92268511587663,10
s1_actuated,1.2,p95_timeloss_s,129.12759999999986,72.73358051196368,185.52161948803604,10
s1_actuated,1.2,n_collisions,630.4,495.1501570012901,765.6498429987098,10
s1_actuated,1.2,max_queue_length_m,135.477,30.15536813847234,240.79863186152767,10
s1_actuated,1.4,mean_duration_s,317.71071298649866,300.0435673808865,335.37785859211084,10
s1_actuated,1.4,mean_timeloss_s,66.06884696739944,48.62484744183655,83.51284649296232,10
s1_actuated,1.4,mean_waiting_s,35.05946423841416,20.48606844668614,49.632860030142176,10
s1_actuated,1.4,p95_timeloss_s,335.02599999999944,172.9573657385611,497.0946342614378,10
s1_actuated,1.4,n_collisions,1332.6,915.3371957887356,1749.8628042112641,10
s1_actuated,1.4,max_queue_length_m,313.78499999999997,208.80656904907696,418.76343095092295,10
