vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,270.2307692307692,18.86025734265734
motorcycle,7800,0.3,277.1223076923077,25.591885897435898
taxi,2080,0.08,270.95,20.65634615384615
pickup,1040,0.04,266.7173076923077,18.248951923076923
truck_light,520,0.02,267.26153846153846,20.01482692307692
bus,260,0.01,270.45384615384614,18.869884615384617
