approach,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,mean_route_length_m
east,8000,384.13,25.04558875,0.082125,7855.203337499999
north,5000,267.7924,18.74614,0.0008,5506.096426
south,5000,293.6896,31.745278000000003,0.0172,5084.765
west,8000,223.206125,15.74114625,0.175625,4660.4756237500005
کل (all),26000,294.8499615384615,22.259652692307693,0.08276923076923078,5887.682262307692
