vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,278.77,25.88697132867133
motorcycle,7800,0.3,285.5023076923077,32.67215384615385
taxi,2080,0.08,279.8134615384615,29.390475961538463
pickup,1040,0.04,278.99134615384617,25.941259615384617
truck_light,520,0.02,278.9442307692308,28.951153846153847
bus,260,0.01,283.9769230769231,28.190576923076925
