approach,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,mean_route_length_m
east,8000,379.6515,27.380645,2.231625,7572.9522075
north,5000,234.9056,32.202073999999996,6.762,4702.6379719999995
south,5000,235.6404,35.945752,6.2226,3399.2403259999996
west,8000,226.230125,12.70117375,0.0,4844.815
کل (all),26000,276.91473076923074,25.438218461538465,3.183692307692308,5378.9049673076925
