scenario,lambda,metric,mean,ci95_lo,ci95_hi,n_seeds
s5_oneway_yield,0.6,mean_duration_s,273.3967307692308,272.1014416059112,274.69201993255047,10
s5_oneway_yield,0.6,mean_timeloss_s,21.101247435897434,20.69041541166389,21.51207946013098,10
s5_oneway_yield,0.6,mean_waiting_s,0.5502564102564103,0.1946717714618984,0.9058410490509221,10
s5_oneway_yield,0.6,p95_timeloss_s,40.56475,39.56067535866241,41.568824641337585,10
s5_oneway_yield,0.6,n_collisions,12.5,10.062415584250765,14.937584415749235,10
s5_oneway_yield,0.6,max_queue_length_m,37.289,30.076015763214386,44.50198423678562,10
s5_oneway_yield,0.8,mean_duration_s,275.8630769230769,274.5408939631488,277.185259883005,10
s5_oneway_yield,0.8,mean_timeloss_s,23.028673557692308,22.098788688314063,23.958558427070553,10
s5_oneway_yield,0.8,mean_waiting_s,1.2642307692307693,0.4430881873260345,2.085373351135504,10
s5_oneway_yield,0.8,p95_timeloss_s,44.86729999999999,43.6561532447208,46.07844675527919,10
s5_oneway_yield,0.8,n_collisions,37.3,30.588933750365324,44.01106624963467,10
s5_oneway_yield,0.8,max_queue_length_m,45.566,33.52161999588932,57.61038000411069,10
s5_oneway_yield,1.0,mean_duration_s,280.9375769230769,274.7536089691865,287.12154487696733,10
s5_oneway_yield,1.0,mean_timeloss_s,28.28929769230769,21.899804162998993,34.67879122161639,10
s5_oneway_yield,1.0,mean_waiting_s,4.4402307692307685,-0.8616660351013445,9.742127573562883,10
s5_oneway_yield,1.0,p95_timeloss_s,72.91844999999985,34.27420355907014,111.56269644092956,10
s5_oneway_yield,1.0,n_collisions,169.4,37.5972507080256,301.20274929197444,10
s5_oneway_yield,1.0,max_queue_length_m,74.91499999999999,21.961673228364674,127.86832677163531,10
s5_oneway_yield,1.2,mean_duration_s,283.23977564102563,278.31178117465504,288.1677701073962,10
s5_oneway_yield,1.2,mean_timeloss_s,30.631781410256405,25.921664311859217,35.34189850865359,10
s5_oneway_yield,1.2,mean_waiting_s,4.767980769230769,1.8444152870771475,7.691546251384391,10
s5_oneway_yield,1.2,p95_timeloss_s,81.02249999999992,40.428092694919116,121.61690730508073,10
s5_oneway_yield,1.2,n_collisions,314.2,109.42796976769921,518.9720302323008,10
s5_oneway_yield,1.2,max_queue_length_m,84.402,46.54529829738668,122.25870170261332,10
s5_oneway_yield,1.4,mean_duration_s,308.3416626542781,286.9663644147414,329.71696089381476,10
s5_oneway_yield,1.4,mean_timeloss_s,55.628093970089836,34.23947729335285,77.01671064682682,10
s5_oneway_yield,1.4,mean_waiting_s,19.393921004778615,7.409363121098258,31.37847888845897,10
s5_oneway_yield,1.4,p95_timeloss_s,238.74734999999973,114.78609886206436,362.7086011379351,10
s5_oneway_yield,1.4,n_collisions,1526.5,545.5517882827218,2507.4482117172784,10
s5_oneway_yield,1.4,max_queue_length_m,203.81,111.71108819250676,295.90891180749327,10
