vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,292.9831468531469,20.675981818181818
motorcycle,7800,0.3,300.4774358974359,27.35445769230769
taxi,2080,0.08,289.49951923076924,21.675423076923074
pickup,1040,0.04,290.19134615384615,20.717451923076926
truck_light,520,0.02,291.33653846153845,22.06898076923077
bus,260,0.01,295.45,24.534230769230767
