scenario,lambda,metric,mean,ci95_lo,ci95_hi,n_seeds
diag_s0,0.6,mean_timeloss_s,14.497800000000002,13.562557752554747,15.433042247445256,10
diag_s0,0.6,mean_waiting_s,0.6596794871794872,-0.21028808016839406,1.5296470545273686,10
diag_s0,0.6,n_collisions,0.0,0.0,0.0,10
diag_s0,0.8,mean_timeloss_s,16.97937067307692,14.246842105389703,19.71189924076414,10
diag_s0,0.8,mean_waiting_s,2.0264423076923075,-0.3334756490947641,4.386360264479379,10
diag_s0,0.8,n_collisions,0.0,0.0,0.0,10
diag_s0,1.0,mean_timeloss_s,17.560859999999998,16.46255083312894,18.659169166871056,10
diag_s0,1.0,mean_waiting_s,1.3630384615384614,0.4865299395382022,2.2395469835387205,10
diag_s0,1.0,n_collisions,0.0,0.0,0.0,10
diag_s0,1.2,mean_timeloss_s,20.342721794871796,17.950829288947908,22.734614300795684,10
diag_s0,1.2,mean_waiting_s,2.554102564102564,0.6094122909280333,4.498792837277095,10
diag_s0,1.2,n_collisions,0.2,-0.10162095503976065,0.5016209550397607,10
diag_s0,1.4,mean_timeloss_s,25.68392912087912,20.362642549229175,31.005215692529067,10
diag_s0,1.4,mean_waiting_s,5.7325,1.409245625371459,10.055754374628542,10
diag_s0,1.4,n_collisions,0.2,-0.10162095503976065,0.5016209550397607,10
diag_s1_fixed,0.6,mean_timeloss_s,21.42229487179487,20.534835195736544,22.309754547853192,10
diag_s1_fixed,0.6,mean_waiting_s,4.931217948717949,4.159656115561159,5.702779781874739,10
diag_s1_fixed,0.6,n_collisions,0.0,0.0,0.0,10
diag_s1_fixed,0.8,mean_timeloss_s,23.169254807692305,22.142673678961806,24.195835936422803,10
diag_s1_fixed,0.8,mean_waiting_s,5.5575480769230765,4.625192723643283,6.48990343020287,10
diag_s1_fixed,0.8,n_collisions,0.0,0.0,0.0,10
diag_s1_fixed,1.0,mean_timeloss_s,27.022640000000003,24.959052861210203,29.086227138789802,10
diag_s1_fixed,1.0,mean_waiting_s,7.5830769230769235,5.838969738440798,9.32718410771305,10
diag_s1_fixed,1.0,n_collisions,0.3,-0.045550214413643764,0.6455502144136438,10
diag_s1_fixed,1.2,mean_timeloss_s,32.01767019230769,26.63807862866931,37.397261755946076,10
diag_s1_fixed,1.2,mean_waiting_s,10.139423076923077,6.160421464034169,14.118424689811985,10
diag_s1_fixed,1.2,n_collisions,0.2,-0.10162095503976065,0.5016209550397607,10
diag_s1_fixed,1.4,mean_timeloss_s,40.05275247252747,31.643164340701077,48.46234060435387,10
diag_s1_fixed,1.4,mean_waiting_s,14.045439560439558,8.409335827228475,19.68154329365064,10
diag_s1_fixed,1.4,n_collisions,0.4,0.030591282210820137,0.76940871778918,10
