approach,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,mean_route_length_m
east,8000,378.634375,26.798517500000003,1.796,7566.4536625
north,5000,240.2538,38.023382,8.2282,4490.049746
south,5000,264.991,58.034624,22.3328,3504.846478
west,8000,226.04975,12.5229375,0.0,4844.815
کل (all),26000,283.2191153846154,30.571602692307692,6.429730769230769,5356.331939230769
