approach,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,mean_route_length_m
east,800,373.3075,18.30105,0.19625,7724.8181875
north,500,214.674,15.6615,0.204,4748.3987
south,500,214.164,19.65052,0.214,3442.5698199999997
west,800,223.72625,10.152325,0.0,4844.1
کل (all),2600,266.1715384615385,15.545657692307692,0.14076923076923076,5442.545696153847
