approach,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,mean_route_length_m
east,8000,379.29075,26.266895,1.339875,7606.17147875
north,5000,235.968,27.917706,2.0364,4766.63804
south,5000,232.8076,34.267808,3.2286,3196.1566199999997
west,8000,225.9775,12.44659375,0.0,4844.815
کل (all),26000,276.3855384615385,23.870595384615385,1.4247692307692308,5362.3794280769225
