vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,281.9946153846154,30.62398881118881
motorcycle,7800,0.3,289.054358974359,37.52793974358974
taxi,2080,0.08,282.4432692307692,32.163384615384615
pickup,1040,0.04,278.80096153846154,30.330682692307693
truck_light,520,0.02,281.40384615384613,34.143499999999996
bus,260,0.01,282.40384615384613,30.833384615384617
