scenario,lambda,seed,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,p95_timeloss_s,n_collisions,max_queue_length_m
s3_constrained,0.6,1,1560,272.9089743589744,20.086557692307693,0.06217948717948718,39.211499999999994,4,13.1
s3_constrained,0.6,2,1560,274.96923076923076,20.528211538461537,0.07435897435897436,40.345,2,20.19
s3_constrained,0.6,3,1560,270.2423076923077,19.68626282051282,0.046794871794871795,37.064,0,25.15
s3_constrained,0.6,4,1560,274.73974358974357,22.822634615384615,2.7346153846153847,40.605,19,31.27
s3_constrained,0.6,5,1560,270.78141025641025,20.46079487179487,0.842948717948718,37.425999999999995,7,18.4
s3_constrained,0.6,6,1560,278.0051282051282,24.472000000000005,4.096794871794872,41.43999999999998,27,34.18
s3_constrained,0.6,7,1560,272.1314102564103,20.07703846153846,0.08974358974358974,38.3305,6,20.27
s3_constrained,0.6,8,1560,270.2160256410256,20.70324358974359,1.162820512820513,38.12199999999999,6,30.43
s3_constrained,0.6,9,1560,270.7429487179487,20.908192307692307,1.3884615384615384,37.98749999999999,9,30.46
s3_constrained,0.6,10,1560,275.9525641025641,24.057942307692308,3.941666666666667,40.95199999999998,28,51.67
s3_constrained,0.8,1,2080,273.3110576923077,22.432629807692308,1.4745192307692307,41.663,10,33.68
s3_constrained,0.8,2,2080,278.95817307692306,26.97148557692308,5.517788461538461,47.103,56,34.43
s3_constrained,0.8,3,2080,274.17884615384617,22.611134615384618,1.8302884615384616,41.51,22,29.95
s3_constrained,0.8,4,2080,270.8423076923077,20.842355769230764,0.06346153846153846,39.583999999999996,3,30.93
s3_constrained,0.8,5,2080,273.0245192307692,20.57142307692308,0.09663461538461539,39.6825,4,20.84
s3_constrained,0.8,6,2080,275.72403846153844,22.365759615384615,1.260096153846154,41.7815,19,35.63
s3_constrained,0.8,7,2080,273.21826923076924,20.90758173076923,0.07259615384615385,39.351,7,24.84
s3_constrained,0.8,8,2080,274.17451923076925,22.525192307692304,1.3004807692307692,43.14099999999999,19,62.24
s3_constrained,0.8,9,2080,271.2980769230769,20.869326923076926,0.08173076923076923,39.964499999999994,5,45.53
s3_constrained,0.8,10,2080,273.98173076923075,21.17183173076923,0.5086538461538461,39.2,7,16.84
s3_constrained,1.0,1,2600,275.2761538461538,22.526480769230773,0.18384615384615385,43.98249999999998,25,44.84
s3_constrained,1.0,2,2600,275.32384615384615,22.387811538461538,0.1123076923076923,44.141,5,107.45
s3_constrained,1.0,3,2600,272.6461538461538,21.8019,0.1373076923076923,41.55349999999998,19,24.02
s3_constrained,1.0,4,2600,278.3223076923077,27.390492307692305,4.89,50.330999999999996,89,82.19
s3_constrained,1.0,5,2600,271.9146153846154,21.76686923076923,0.14423076923076922,41.572499999999984,11,28.34
s3_constrained,1.0,6,2600,290.4876923076923,37.14473846153846,13.776538461538461,140.74799999999996,152,40.76
s3_constrained,1.0,7,2600,275.3303846153846,23.417696153846155,1.2161538461538461,44.261999999999986,23,34.1
s3_constrained,1.0,8,2600,274.4519230769231,22.207011538461536,0.11884615384615385,43.55249999999998,11,110.57
s3_constrained,1.0,9,2600,273.50115384615384,22.636300000000002,0.5853846153846154,42.90499999999997,14,23.77
s3_constrained,1.0,10,2600,274.75807692307694,22.364096153846155,0.11269230769230769,42.29149999999999,6,32.39
s3_constrained,1.2,1,3120,279.98333333333335,28.46210576923077,3.7586538461538463,54.11749999999996,148,84.1
s3_constrained,1.2,2,3120,279.04102564102567,25.94047435897436,2.433653846153846,49.540499999999945,67,34.5
s3_constrained,1.2,3,3120,275.4400641025641,23.817147435897436,0.8128205128205128,44.82549999999997,19,40.36
s3_constrained,1.2,4,3120,277.54102564102567,25.92860256410256,2.32275641025641,48.21199999999999,50,77.64
s3_constrained,1.2,5,3120,284.59166666666664,32.969875,8.637179487179488,69.87999999999995,192,82.76
s3_constrained,1.2,6,3120,275.62051282051283,23.78484294871795,0.24294871794871795,48.301999999999985,40,27.27
s3_constrained,1.2,7,3120,277.49807692307695,26.343064102564103,2.928525641025641,49.85449999999997,85,111.75
s3_constrained,1.2,8,3120,280.4400641025641,27.591935897435896,3.6134615384615385,54.08099999999994,91,106.72
s3_constrained,1.2,9,3120,282.924358974359,30.058929487179487,5.2801282051282055,55.98049999999999,140,118.11
s3_constrained,1.2,10,3120,279.949358974359,28.096894230769234,4.037820512820513,51.73,109,66.05
s3_constrained,1.4,1,3640,278.264010989011,27.587049450549447,2.793131868131868,52.23249999999998,83,79.66
s3_constrained,1.4,2,3640,279.16813186813187,26.48593131868132,1.850824175824176,49.5905,66,41.43
s3_constrained,1.4,3,3640,287.79752747252746,37.529700549450546,11.998626373626374,64.66549999999997,210,173.64
s3_constrained,1.4,4,3640,295.1629120879121,42.894928571428565,15.547252747252747,198.66799999999964,456,111.9
s3_constrained,1.4,5,3640,293.9357142857143,43.24152197802198,16.35247252747253,198.68749999999972,321,415.35
s3_constrained,1.4,6,3640,280.35054945054947,27.97858791208791,2.718956043956044,55.981999999999985,132,141.7
s3_constrained,1.4,7,3640,276.75686813186815,24.795903846153845,0.26346153846153847,48.18149999999999,43,232.95
s3_constrained,1.4,8,3640,280.67692307692306,29.282804945054945,4.067857142857143,53.911999999999985,139,65.08
s3_constrained,1.4,9,3640,276.4098901098901,24.820931318681318,0.2357142857142857,48.85299999999999,43,49.52
s3_constrained,1.4,10,3640,290.58076923076925,39.12013186813187,12.643681318681319,141.1634999999995,307,157.69
