vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,274.09048951048953,21.635562237762237
motorcycle,7800,0.3,282.04333333333335,28.562976923076924
taxi,2080,0.08,273.45721153846154,23.61691826923077
pickup,1040,0.04,273.3875,21.21868269230769
truck_light,520,0.02,272.62884615384615,22.09771153846154
bus,260,0.01,275.8115384615385,22.20880769230769
