parameter_multiplier,corr_with_mean_timeloss,corr_with_mean_collisions
tau_multiplier,-0.8320138832937771,-0.8679070959276225
sigma_multiplier,0.39474900943772717,0.3629605025338293
impatience_multiplier,0.1724119594862321,0.19485068240041373
minGap_multiplier,0.024061646666071048,-0.06741118098646819
lcAssertive_multiplier,-0.027618491349709444,0.03626588104640137
jmIgnoreFoeProb_multiplier,-0.01719743420205306,0.011126454575990655
