vType,n_vehicles,share,mean_duration_s,mean_timeloss_s
passenger,14300,0.55,281.2171328671329,28.3398
motorcycle,7800,0.3,288.05320512820515,35.22381025641025
taxi,2080,0.08,280.11442307692306,29.676423076923076
pickup,1040,0.04,281.15576923076924,28.09705769230769
truck_light,520,0.02,279.6096153846154,29.59546153846154
bus,260,0.01,288.61538461538464,32.766423076923076
