approach,n_vehicles,mean_duration_s,mean_timeloss_s,mean_waiting_s,mean_route_length_m
east,8000,382.590125,27.613853749999997,3.077,7728.739891249999
north,5000,241.9148,40.746148,14.4006,4818.423428
south,5000,259.5106,64.38201,29.9634,3504.597718
west,8000,227.061125,13.53805,0.0,4844.815
کل (all),26000,284.0129615384615,32.879077692307696,9.478307692307693,5469.36711
